*RZWQM2 OUTPUTS Version 3.27 Intel Fortran               Apr 29, 2016; 16:12:54


         SHAW E         SHAW T        SHAW ET        SHAW PT        RZ PT            AE            AT           SHAWE-AE
   95  0.000000       0.000000       0.000048       0.000000       0.000000       0.000000       0.000000       0.000000
   96  0.000000       0.000000      -0.000141       0.000000       0.000000       0.000000       0.000000       0.000000
   97  0.000000       0.000000      -0.000033       0.000000       0.000000       0.000000       0.000000       0.000000
   98  0.000000       0.000000       0.000301       0.000000       0.000000       0.000000       0.000000       0.000000
   99  0.000000       0.000000      -0.000074       0.000000       0.000000       0.000000       0.000000       0.000000
  100  0.000000       0.000000      -0.000227       0.000000       0.000000       0.000000       0.000000       0.000000
  101  0.000000       0.000000      -0.000037       0.000000       0.000000       0.000000       0.000000       0.000000
  102  0.000000       0.000000       0.000032       0.000000       0.000000       0.000000       0.000000       0.000000
  103  0.000000       0.000000       0.000047       0.000000       0.000000       0.000000       0.000000       0.000000
  104  0.000000       0.000000       0.000059       0.000000       0.000000       0.000000       0.000000       0.000000
  105  0.000000       0.000000      -0.000242       0.000000       0.000000       0.000000       0.000000       0.000000
